date,username,time,task,computer,stimfile
10/11/2015,gru,11-Oct-2015 09:38:30,somatoLocEvent1.m,oban.stanford.edu,~/data/somatoLocEvent1/s317/151011_stim06.mat
10/11/2015,gru,11-Oct-2015 09:46:11,somatoLocEvent1.m,oban.stanford.edu,~/data/somatoLocEvent1/s317/151011_stim07.mat
10/11/2015,gru,11-Oct-2015 09:53:30,somatoLocEvent1.m,oban.stanford.edu,~/data/somatoLocEvent1/s317/151011_stim08.mat
10/11/2015,gru,11-Oct-2015 10:00:52,somatoLocEvent1.m,oban.stanford.edu,~/data/somatoLocEvent1/s317/151011_stim09.mat
10/11/2015,gru,11-Oct-2015 10:08:42,somatoLocEvent1.m,oban.stanford.edu,~/data/somatoLocEvent1/s317/151011_stim10.mat
10/11/2015,gru,11-Oct-2015 10:16:25,somatoLocEvent1.m,oban.stanford.edu,~/data/somatoLocEvent1/s317/151011_stim11.mat
