date,username,time,task,computer,stimfile
08/01/2016,gru,01-Aug-2016 22:04:03,somLocTW.m,oban.stanford.edu,~/data/somLocTW/s301/160801_stim01.mat
08/01/2016,gru,01-Aug-2016 22:16:03,somLocTW.m,oban.stanford.edu,~/data/somLocTW/s301/160801_stim02.mat
08/01/2016,gru,01-Aug-2016 22:29:25,somLocTW.m,oban.stanford.edu,~/data/somLocTW/s301/160801_stim03.mat
08/01/2016,gru,01-Aug-2016 22:38:03,somLocTW.m,oban.stanford.edu,~/data/somLocTW/s301/160801_stim04.mat
08/01/2016,gru,01-Aug-2016 22:46:50,somLocTW.m,oban.stanford.edu,~/data/somLocTW/s301/160801_stim05.mat
08/01/2016,gru,01-Aug-2016 22:55:53,somLocTW.m,oban.stanford.edu,~/data/somLocTW/s301/160801_stim06.mat
