date,username,time,task,computer,stimfile
08/17/2016,gru,17-Aug-2016 00:45:54,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim13.mat
08/17/2016,gru,17-Aug-2016 00:52:22,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim14.mat
08/17/2016,gru,17-Aug-2016 00:58:18,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim15.mat
08/17/2016,gru,17-Aug-2016 01:04:19,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim16.mat
08/17/2016,gru,17-Aug-2016 01:10:49,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim17.mat
08/17/2016,gru,17-Aug-2016 01:17:02,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim18.mat
08/17/2016,,17-Aug-2016 01:23:18,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim19.mat
08/17/2016,gru,17-Aug-2016 01:29:39,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim20.mat
08/17/2016,gru,17-Aug-2016 01:36:18,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim21.mat
08/17/2016,gru,17-Aug-2016 01:51:20,somLocTW4Att.m,oban.stanford.edu,~/data/somLocTW4Att/s024/160817_stim22.mat
08/18/2016,gru,18-Aug-2016 23:41:24,somLoc2StreamAtt.m,oban.stanford.edu,/Users/gru/.Trash/mglAbortedStimfiles/160818_stim01_aborted0001.mat
08/18/2016,gru,18-Aug-2016 23:48:46,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160818_stim01.mat
08/18/2016,gru,18-Aug-2016 23:56:51,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160818_stim02.mat
08/19/2016,gru,19-Aug-2016 00:04:58,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160819_stim03.mat
08/19/2016,gru,19-Aug-2016 00:12:37,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160819_stim04.mat
08/19/2016,gru,19-Aug-2016 00:20:31,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160819_stim05.mat
08/19/2016,gru,19-Aug-2016 00:30:17,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160819_stim06.mat
08/19/2016,gru,19-Aug-2016 00:38:24,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160819_stim07.mat
08/19/2016,gru,19-Aug-2016 00:46:04,somLoc2StreamAtt.m,oban.stanford.edu,~/data/somLoc2StreamAtt/s024/160819_stim08.mat
09/05/2016,gru,05-Sep-2016 01:39:21,somLoc1Att.m,oban.stanford.edu,~/data/somLoc1Att/s024/160905_stim02.mat
09/05/2016,gru,05-Sep-2016 01:47:19,somLoc1Att.m,oban.stanford.edu,~/data/somLoc1Att/s024/160905_stim03.mat
09/05/2016,gru,05-Sep-2016 01:55:05,somLoc1Att.m,oban.stanford.edu,~/data/somLoc1Att/s024/160905_stim04.mat
09/05/2016,gru,05-Sep-2016 02:02:47,somLoc1Att.m,oban.stanford.edu,~/data/somLoc1Att/s024/160905_stim05.mat
09/05/2016,gru,05-Sep-2016 02:10:39,somLoc1Att.m,oban.stanford.edu,~/data/somLoc1Att/s024/160905_stim06.mat
09/05/2016,gru,05-Sep-2016 02:18:31,somLoc1Att.m,oban.stanford.edu,~/data/somLoc1Att/s024/160905_stim07.mat
09/05/2016,gru,05-Sep-2016 02:26:19,somLoc1Att.m,oban.stanford.edu,~/data/somLoc1Att/s024/160905_stim08.mat
